config,label,use_tabu,use_prs,SA_COOLING,SA_PAPER,SA_REDU,TABU_TENURE,SUB_IT,PRS_EVERY_ITER,PRS_SUB_IT,PRS_ALPHA,PRS_MOVE_MIN_FRAC,PRS_MOVE_MAX_FRAC,seed,z_cost,total_penalty,objective,shortage,import_dep,service_rate,local_prod,elapsed_seconds,worst_shortage_prov,worst_shortage_month,worst_shortage_val,mean_destruction_scale,min_destruction_scale,max_destruction_scale,std_destruction_scale,shortage_m01,shortage_m02,shortage_m03,shortage_m04,shortage_m05,shortage_m06,shortage_m07,shortage_m08,shortage_m09,shortage_m10,shortage_m11,shortage_m12,d_destroy_random_temporal,d_destroy_cost_based,d_destroy_shortage_based,d_destroy_geographic,d_destroy_bottleneck_port,d_destroy_relatedness,r_repair_greedy,r_repair_regret,r_repair_balanced,r_repair_transfer_focused,d_w_destroy_random_temporal,d_w_destroy_cost_based,d_w_destroy_shortage_based,d_w_destroy_geographic,d_w_destroy_bottleneck_port,d_w_destroy_relatedness,r_w_repair_greedy,r_w_repair_regret,r_w_repair_balanced,r_w_repair_transfer_focused
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,1,25436023336440.434,5872845777171.795,31308869113612.23,0.0,0.9099567608083113,1.0,240982.8899999999,94.29226980009116,0,0,0.0,0.1971388041199473,0.010964912280701754,0.3498773632712826,0.09984231329336701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,76,100,98,70,80,141,111,119,129,0.100207,0.1,0.100163,0.100282,0.1,0.100023,0.100064,0.1,0.1,0.100009
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,2,23439371170230.383,1243550791487.8743,24682921961718.258,0.0,0.9026885528320217,1.0,240982.89,80.08868739986792,0,0,0.0,0.22663902649502302,0.010964912280701754,0.3497043402816016,0.07895204442599162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,59,82,83,68,111,194,87,120,99,0.231805,0.1,0.10099,0.101132,0.1,0.198628,0.211216,0.1,0.104292,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,3,23424118970230.055,1778367921110.403,25202486891340.457,0.0,0.9025764167703877,1.0,240982.88999999998,80.25738189998083,0,0,0.0,0.2234875050956947,0.010964912280701754,0.34993364899897217,0.08192332639464169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,71,87,104,70,81,179,108,124,89,0.101194,0.1,0.156143,0.100409,0.1,0.10571,0.119302,0.1,0.100095,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,4,23951744827970.77,2437520905416.01,26389265733386.78,0.0,0.9048073469496373,1.0,240982.89,86.97546610003337,0,0,0.0,0.22043845241273238,0.010964912280701754,0.34998108882298845,0.0856679684288046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,72,117,84,61,85,169,95,102,134,0.116995,0.1,0.124821,0.142547,0.1,0.103033,0.226184,0.1,0.100079,0.100001
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,5,23449371075778.65,2066796408311.0508,25516167484089.7,0.0,0.9028107266994528,1.0,240982.89,91.59109820006415,0,0,0.0,0.22873316920936831,0.010964912280701754,0.3495506169755382,0.0761620159555848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,57,133,77,51,86,191,110,105,94,0.10297,0.1,0.178836,0.100179,0.1,0.124642,0.244752,0.100502,0.1,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,6,23821370353070.473,2191594362937.175,26012964716007.65,0.0,0.9042900548668361,1.0,240982.88693890598,92.3795149999205,0,0,0.0,0.2178007339098734,0.010964912280701754,0.3498585948752459,0.08747310449560226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,62,97,91,62,109,167,112,105,116,0.132017,0.1,0.214604,0.10129,0.1,0.191099,0.235515,0.12111,0.225198,0.129668
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,7,23478557579264.84,1590335889712.5679,25068893468977.41,0.0,0.9027602546751312,1.0,240982.89,71.21059839986265,0,0,0.0,0.2171831331825039,0.010964912280701754,0.3495725600633261,0.09122610573705166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,62,126,98,60,74,175,105,108,112,0.203842,0.100034,0.112815,0.100192,0.1,0.170143,0.145753,0.105006,0.108904,0.100156
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,8,23658031123610.39,2299039371264.924,25957070494875.312,0.0,0.9035621656711912,1.0,240982.89,72.28206590004265,0,0,0.0,0.20985873735585775,0.010964912280701754,0.3499217508119565,0.09812193428804744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,54,125,96,51,83,153,120,104,123,0.17045,0.1,0.111589,0.140487,0.1,0.103453,0.219074,0.112702,0.100007,0.107181
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,9,23514919857276.09,1969710889530.884,25484630746806.973,0.0,0.9029887278960236,1.0,240982.88999999996,64.41051129996777,0,0,0.0,0.22376271026200523,0.010964912280701754,0.3493975242045644,0.08554068686878197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,67,98,97,75,63,187,95,119,99,0.206319,0.1,0.102083,0.103194,0.1,0.100049,0.156639,0.1,0.100018,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,10,23857569919225.055,2500447204913.713,26358017124138.77,0.0,0.9042341964127995,1.0,240982.88999999998,70.31605940009467,0,0,0.0,0.22328358129674433,0.010964912280701754,0.3495096050456363,0.0804761871694228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,64,94,106,60,89,176,101,109,114,0.100082,0.1,0.100761,0.100136,0.1,0.124878,0.118711,0.1,0.100236,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,11,24265019908474.383,2187188788278.3003,26452208696752.684,2.2737367544323206e-13,0.9056404627101764,1.0,240982.88999999946,63.353688299888745,9,0,2.2737367544323206e-13,0.19969865452432867,0.010964912280701754,0.34930806429417005,0.09853192428174672,2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,73,93,84,88,78,168,93,108,131,0.100017,0.1,0.100011,0.100011,0.1,0.100051,0.1,0.1,0.1,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,12,23363984606105.742,1376984536278.2764,24740969142384.02,0.0,0.9023121156181604,1.0,240982.88999999998,67.39688530005515,0,0,0.0,0.22217315672932603,0.010964912280701754,0.34994445305164357,0.08519370273773721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,64,107,68,61,95,181,115,113,91,0.100549,0.1,0.102143,0.100142,0.1,0.101737,0.105112,0.100047,0.100007,0.100028
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,13,24031272577632.27,2799796601088.2974,26831069178720.566,111.23094807295772,0.9048130732796127,0.9999538333180942,240982.8899999996,76.65918170008808,28,2,86.9138727498925,0.21793992414198898,0.010964912280701754,0.34952372285379374,0.08436833006631637,2.842170943040401e-14,0.0,90.05842359891642,0.0,0.0,0.0,0.0,0.0,1.5404156047383823,3.6525114929882747,11.31959737631461,4.66,93,70,102,78,64,93,175,110,104,111,0.100789,0.100001,0.322118,0.104164,0.1,0.10017,0.319193,0.100002,0.100051,0.102128
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,14,23960577166243.902,1928490978772.0352,25889068145015.938,0.8441580926159175,0.9047039081038031,0.9999996496300821,240982.8899170292,91.67259990004823,32,5,0.378922296098712,0.21276928206172863,0.010964912280701754,0.3494625026093847,0.08717498997653027,1.3642420526593924e-12,0.0,0.0,0.0,0.0,0.8441580926145532,0.0,0.0,0.0,0.0,0.0,0.0,75,78,87,91,75,94,143,130,104,123,0.116695,0.1,0.217678,0.100032,0.1,0.100051,0.133809,0.111865,0.100001,0.173608
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,15,23572549818494.113,1628787812425.7705,25201337630919.883,0.0,0.9032016741934824,1.0,240982.89,64.98836210020818,0,0,0.0,0.2289823852598169,0.010964912280701754,0.3495722679918576,0.08229251822801174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,75,95,84,65,95,194,100,112,94,0.105413,0.1,0.106365,0.194923,0.1,0.142812,0.172776,0.101584,0.13941,0.100002
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,16,23808821693696.027,2257209629111.374,26066031322807.4,0.0,0.9040714001902315,1.0,240982.89,63.701216500019655,0,0,0.0,0.220181915643155,0.010964912280701754,0.34984653687530015,0.08514032759834461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,57,99,106,70,91,203,79,139,79,0.101343,0.1,0.151409,0.110068,0.1,0.110198,0.114483,0.1,0.115823,0.100028
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,17,23995590840705.164,3302716694429.42,27298307535134.582,99.64332938123701,0.9047787936614766,0.9999586427880794,240982.88999999998,76.94381950004026,24,10,21.5,0.19419851896452153,0.010964912280701754,0.34997325510112703,0.10477770509511249,0.0,0.0,0.0,0.0,0.0,0.0,3.9933293812370074,18.55,16.5,18.55,21.5,20.55,99,64,91,89,80,77,157,110,110,123,0.100323,0.1,0.162295,0.100106,0.1,0.10568,0.10001,0.1,0.1,0.171067
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,18,23773606426004.203,1925239734625.893,25698846160630.098,298.9545816954364,0.9038795142573381,0.9998759181566232,240982.88999999998,81.88111650012434,18,2,298.9545816954364,0.2231305223350093,0.010964912280701754,0.3498422684547186,0.08291410766799467,0.0,0.0,298.9545816954364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,58,106,78,64,98,189,120,93,98,0.145378,0.100001,0.131146,0.130108,0.1,0.121459,0.115694,0.1,0.10004,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,19,23450719887827.324,791032842713.2197,24241752730540.543,0.0,0.9027340312608785,1.0,240982.88999999998,64.81791500002146,0,0,0.0,0.22084682346132606,0.010964912280701754,0.3495819152583461,0.08548477011793343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,76,108,97,54,70,177,96,128,99,0.115202,0.1,0.103831,0.114862,0.1,0.101356,0.152603,0.100668,0.10156,0.100001
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,20,23443440480427.53,2084423607540.2231,25527864087967.754,0.0,0.9027712847052951,1.0,240982.88999999998,67.11189639987424,0,0,0.0,0.22064880122341304,0.010964912280701754,0.3498075240879373,0.08475245132439577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,81,95,88,55,97,173,102,112,113,0.101618,0.1,0.109148,0.166855,0.1,0.122355,0.126356,0.10117,0.116219,0.1
