province,metric,initial,optimized,change,change_pct
Aceh,demand_ton,346.770,346.770,0.000,0.00
Aceh,local_supply_ton,155.366,346.770,191.404,123.20
Aceh,import_received_ton,306.994,0.000,-306.994,-100.00
Aceh,transfer_in_ton,0.000,0.000,0.000,0.00
Aceh,transfer_out_ton,0.000,0.000,0.000,0.00
Aceh,shortage_ton,0.000,0.000,0.000,0.00
Aceh,service_rate,1.000,1.000,0.000,0.00
Sumatera Utara,demand_ton,272.490,272.490,0.000,0.00
Sumatera Utara,local_supply_ton,122.632,272.490,149.858,122.20
Sumatera Utara,import_received_ton,240.689,0.000,-240.689,-100.00
Sumatera Utara,transfer_in_ton,0.000,0.000,0.000,0.00
Sumatera Utara,transfer_out_ton,0.000,0.000,0.000,0.00
Sumatera Utara,shortage_ton,0.000,0.000,0.000,0.00
Sumatera Utara,service_rate,1.000,1.000,0.000,0.00
Sumatera Barat,demand_ton,32.700,32.700,0.000,0.00
Sumatera Barat,local_supply_ton,0.000,32.700,32.700,0.00
Sumatera Barat,import_received_ton,42.872,0.000,-42.872,-100.00
Sumatera Barat,transfer_in_ton,0.000,0.000,0.000,0.00
Sumatera Barat,transfer_out_ton,0.000,0.000,0.000,0.00
Sumatera Barat,shortage_ton,0.000,0.000,0.000,0.00
Sumatera Barat,service_rate,1.000,1.000,0.000,0.00
Riau,demand_ton,121795.140,121795.140,0.000,0.00
Riau,local_supply_ton,495.190,109261.223,108766.033,21964.51
Riau,import_received_ton,118755.110,18136.953,-100618.158,-84.73
Riau,transfer_in_ton,0.000,0.000,0.000,0.00
Riau,transfer_out_ton,0.000,0.000,0.000,0.00
Riau,shortage_ton,2544.840,0.000,-2544.840,-100.00
Riau,service_rate,0.979,1.000,0.021,2.13
Jambi,demand_ton,20855.350,20855.350,0.000,0.00
Jambi,local_supply_ton,3451.167,13981.784,10530.617,305.13
Jambi,import_received_ton,24139.818,8074.697,-16065.122,-66.55
Jambi,transfer_in_ton,0.000,0.000,0.000,0.00
Jambi,transfer_out_ton,0.000,0.000,0.000,0.00
Jambi,shortage_ton,0.000,0.000,0.000,0.00
Jambi,service_rate,1.000,1.000,0.000,0.00
Sumatera Selatan,demand_ton,64050.520,64050.520,0.000,0.00
Sumatera Selatan,local_supply_ton,0.000,40357.061,40357.061,0.00
Sumatera Selatan,import_received_ton,83974.227,27387.091,-56587.136,-67.39
Sumatera Selatan,transfer_in_ton,0.000,0.000,0.000,0.00
Sumatera Selatan,transfer_out_ton,0.000,0.000,0.000,0.00
Sumatera Selatan,shortage_ton,0.000,0.000,0.000,0.00
Sumatera Selatan,service_rate,1.000,1.000,0.000,0.00
Bengkulu,demand_ton,69620.780,69620.780,0.000,0.00
Bengkulu,local_supply_ton,0.000,29973.009,29973.009,0.00
Bengkulu,import_received_ton,91116.694,43659.082,-47457.612,-52.08
Bengkulu,transfer_in_ton,0.000,0.000,0.000,0.00
Bengkulu,transfer_out_ton,0.000,0.000,0.000,0.00
Bengkulu,shortage_ton,0.000,0.000,0.000,0.00
Bengkulu,service_rate,1.000,1.000,0.000,0.00
Lampung,demand_ton,75191.040,75191.040,0.000,0.00
Lampung,local_supply_ton,2109.760,23738.219,21628.459,1025.16
Lampung,import_received_ton,81731.599,55029.036,-26702.563,-32.67
