provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Nusa Tenggara Barat,20448.3,39502.1,+19053.8
Bali,17858.0,21871.4,+4013.4
Sulawesi Tenggara,4501.1,6538.2,+2037.0
Gorontalo,2215.4,2755.0,+539.5
Kalimantan Utara,1860.3,2325.0,+464.6
Nusa Tenggara Timur,1137.8,1653.0,+515.2
Sulawesi Selatan,79.5,95.8,+16.3
Sulawesi Tengah,56.5,83.3,+26.9
Sulawesi Utara,37.4,78.6,+41.2
Papua Pegunungan,36.3,67.2,+30.9
Papua Barat,37.7,59.5,+21.9
Papua,21.9,35.2,+13.3
Papua Barat Daya,15.1,23.8,+8.8
Maluku,14.3,21.7,+7.4
Papua Tengah,4.4,7.0,+2.7
Papua Selatan,1.9,3.0,+1.1
Kalimantan Tengah,509.3,0.0,-509.3
Kalimantan Selatan,2.4,0.0,-2.4
Kalimantan Timur,4608.8,0.0,-4608.8
Sulawesi Barat,4279.0,0.0,-4279.0
Maluku Utara,869.2,0.0,-869.2
