periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.00
2,Feb,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,24922.9,40.12
3,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4,Apr,13097.2,0.0,0.0,0.0,0.0,0.0,0.0,13097.2,13097.2,24000.0,54.57
5,Mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,0.00
6,Jun,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12000.0,18000.0,66.67
7,Jul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,0.00
8,Agu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
9,Sep,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12000.0,26555.5,45.19
10,Okt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.00
11,Nov,11497.4,0.0,0.0,0.0,0.0,0.0,0.0,11497.4,11497.4,17246.1,66.67
12,Des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
