periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,0.0,0.0,0.0,754.0,0.0,0.0,754.0,754.0,1131.1,66.67
2,Feb,0.0,0.0,0.0,0.0,735.1,0.0,0.0,735.1,735.1,1102.7,66.67
3,Mar,0.0,0.0,0.0,0.0,200.0,0.0,0.0,200.0,200.0,937.5,21.33
4,Apr,0.0,0.0,0.0,0.0,625.0,0.0,0.0,625.0,625.0,937.5,66.67
5,Mei,0.0,0.0,0.0,0.0,700.0,0.0,0.0,700.0,700.0,1050.0,66.67
6,Jun,0.0,0.0,0.0,0.0,550.0,0.0,0.0,550.0,550.0,962.4,57.15
7,Jul,0.0,0.0,0.0,0.0,800.0,0.0,0.0,800.0,800.0,1200.0,66.67
8,Agu,0.0,0.0,0.0,0.0,850.0,0.0,0.0,850.0,850.0,1275.0,66.67
9,Sep,0.0,0.0,0.0,0.0,625.0,0.0,0.0,625.0,625.0,937.5,66.67
10,Okt,0.0,0.0,0.0,0.0,125.0,0.0,0.0,125.0,125.0,1146.2,10.91
11,Nov,0.0,0.0,0.0,0.0,925.0,0.0,0.0,925.0,925.0,1387.5,66.67
12,Des,0.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,330.0,986.6,33.45
