periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,18.7,0.0,0.0,1112.4,0.0,0.0,1131.1,1131.1,1131.1,100.00
2,Feb,0.0,0.0,0.0,0.0,0.0,1102.7,0.0,1102.7,1102.7,1102.7,100.00
3,Mar,0.0,0.0,0.0,937.5,0.0,0.0,0.0,937.5,937.5,937.5,100.00
4,Apr,224.7,0.0,0.0,0.0,0.0,0.0,0.0,224.7,224.7,937.5,23.97
5,Mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.00
6,Jun,0.0,514.5,0.0,306.8,141.1,0.0,0.0,962.4,962.4,962.4,100.00
7,Jul,2.5,1197.5,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,1200.0,100.00
8,Agu,0.0,0.0,0.0,0.0,0.0,0.0,1197.5,1197.5,1197.5,1275.0,93.93
9,Sep,133.9,0.0,0.0,0.0,0.0,0.0,0.0,133.9,133.9,937.5,14.28
10,Okt,0.0,649.5,0.0,0.0,496.7,0.0,0.0,1146.2,1146.2,1146.2,100.00
11,Nov,228.6,0.0,0.0,1158.9,0.0,0.0,0.0,1387.5,1387.5,1387.5,100.00
12,Des,0.0,169.9,0.0,0.0,0.0,816.8,0.0,986.6,986.6,986.6,100.00
