provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Bali,2448.8,7746.5,+5297.8
Kepulauan Riau,11093.7,2678.6,-8415.1
Sulawesi Barat,0.0,1366.7,+1366.7
Sulawesi Tenggara,0.0,934.9,+934.9
Gorontalo,0.0,430.7,+430.7
Riau,111535.9,55.5,-111480.5
Sulawesi Tengah,0.0,32.2,+32.2
Sulawesi Utara,0.0,18.6,+18.6
Sulawesi Selatan,0.0,14.0,+14.0
Kalimantan Selatan,0.0,4.3,+4.3
Kalimantan Barat,0.0,2.6,+2.6
Nusa Tenggara Barat,2963.9,2.5,-2961.4
Aceh,307.0,0.0,-307.0
Sumatera Utara,240.7,0.0,-240.7
Sumatera Barat,6.2,0.0,-6.2
Jambi,4144.9,0.0,-4144.9
Sumatera Selatan,9609.7,0.0,-9609.7
Bengkulu,6044.2,0.0,-6044.2
Lampung,17874.6,0.0,-17874.6
Kep. Bangka Belitung,319.4,0.0,-319.4
Jawa Barat,40516.6,0.0,-40516.6
