periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,15051.7,1225.1,0.0,0.0,0.0,0.0,0.0,16276.8,16276.8,30464.4,53.43
2,Feb,15168.5,2239.7,0.0,0.0,0.0,0.0,0.0,17408.2,17408.2,29199.9,59.62
3,Mar,11539.3,1465.7,0.0,0.0,0.0,0.0,0.0,13005.0,13005.0,28072.0,46.33
4,Apr,11164.6,2608.6,0.0,0.0,0.0,0.0,0.0,13773.1,13773.1,33817.8,40.73
5,Mei,18724.9,2771.7,0.0,0.0,0.0,0.0,0.0,21496.7,21496.7,32245.0,66.67
6,Jun,15647.0,1290.2,2726.0,0.0,0.0,0.0,0.0,19663.2,19663.2,32153.6,61.15
7,Jul,14255.6,1331.2,0.0,0.0,0.0,0.0,0.0,15586.8,15586.8,43270.5,36.02
8,Agu,19911.9,581.6,0.0,0.0,0.0,0.0,0.0,20493.4,20493.4,31825.7,64.39
9,Sep,16532.6,2413.9,0.0,0.0,0.0,0.0,0.0,18946.4,18946.4,28419.6,66.67
10,Okt,17365.5,1553.3,0.0,0.0,0.0,0.0,0.0,18918.8,18918.8,28378.2,66.67
11,Nov,13363.3,539.0,0.0,0.0,0.0,0.0,0.0,13902.3,13902.3,20853.4,66.67
12,Des,15169.3,1451.9,0.0,0.0,0.0,1013.6,0.0,17634.8,17634.8,28145.7,62.66
