periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,6185.5,1563.4,0.0,0.0,0.0,0.0,0.0,7749.0,7749.0,30464.4,25.44
2,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29199.9,0.00
3,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28072.0,0.00
4,Apr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33817.8,0.00
5,Mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32245.0,0.00
6,Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32153.6,0.00
7,Jul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43270.5,0.00
8,Agu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31825.7,0.00
9,Sep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28419.6,0.00
10,Okt,2401.4,1600.9,0.0,0.0,0.0,0.0,0.0,4002.3,4002.3,28378.2,14.10
11,Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20853.4,0.00
12,Des,940.2,595.5,0.0,0.0,0.0,0.0,0.0,1535.7,1535.7,28145.7,5.46
