periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,70334.1,42.65
2,Feb,32248.5,0.0,0.0,0.0,0.0,0.0,0.0,32248.5,32248.5,78013.5,41.34
3,Mar,43538.9,0.0,0.0,0.0,0.0,0.0,0.0,43538.9,43538.9,82266.7,52.92
4,Apr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153374.3,0.00
5,Mei,45187.7,0.0,0.0,0.0,0.0,0.0,0.0,45187.7,45187.7,104336.0,43.31
6,Jun,0.0,0.0,20174.6,0.0,0.0,0.0,0.0,20174.6,20174.6,163014.0,12.38
7,Jul,58238.5,0.0,0.0,0.0,0.0,0.0,0.0,58238.5,58238.5,87357.8,66.67
8,Agu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76048.5,0.00
9,Sep,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,75000.0,66.67
10,Okt,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,37000.0,37000.0,85694.2,43.18
11,Nov,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,16000.0,46258.8,34.59
12,Des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64118.2,0.00
