periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,30000.0,22063.3,0.0,0.0,0.0,0.0,0.0,52063.3,52063.3,70334.1,74.02
2,Feb,7471.9,12309.9,0.0,0.0,955.7,1212.7,0.0,21950.2,21950.2,78013.5,28.14
3,Mar,7986.6,0.0,0.0,2877.8,812.5,2252.0,0.0,13928.9,13928.9,82266.7,16.93
4,Apr,7728.9,0.0,0.0,0.0,0.0,0.0,0.0,7728.9,7728.9,153374.3,5.04
5,Mei,7986.6,0.0,0.0,0.0,0.0,0.0,0.0,7986.6,7986.6,104336.0,7.65
6,Jun,7728.9,551.9,0.0,0.0,551.9,0.0,0.0,8832.6,8832.6,163014.0,5.42
7,Jul,7986.8,6612.0,0.0,0.0,1040.0,1325.9,0.0,16964.7,16964.7,87357.8,19.42
8,Agu,7986.5,0.0,0.0,0.0,0.0,0.0,891.3,8877.8,8877.8,76048.5,11.67
9,Sep,7731.6,0.0,0.0,0.0,0.0,0.0,0.0,7731.6,7731.6,75000.0,10.31
10,Okt,7986.7,4936.6,0.0,0.0,993.3,0.0,0.0,13916.6,13916.6,85694.2,16.24
11,Nov,7728.9,0.0,0.0,11416.5,1202.5,571.5,0.0,20919.4,20919.4,46258.8,45.22
12,Des,7995.2,8153.4,0.0,0.0,855.1,7065.5,0.0,24069.2,24069.2,64118.2,37.54
