periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,0.00
2,Feb,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,14000.0,30000.0,46.67
3,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.0,0.00
4,Apr,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,18000.0,27000.0,66.67
5,Mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19796.6,0.00
6,Jun,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,17000.0,25500.0,66.67
7,Jul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31472.7,0.00
8,Agu,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,11000.0,16500.0,66.67
9,Sep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25500.0,0.00
10,Okt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28845.9,0.00
11,Nov,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,30000.0,66.67
12,Des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
