periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,0.00
2,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.00
3,Mar,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,22500.0,0.00
4,Apr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0,0.00
5,Mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19796.6,0.00
6,Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25500.0,0.00
7,Jul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31472.7,0.00
8,Agu,0.6,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.2,16500.0,0.01
9,Sep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25500.0,0.00
10,Okt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28845.9,0.00
11,Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.00
12,Des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
