periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,10.6,0.0,0.0,22.3,0.0,0.0,32.9,32.9,38863.8,0.08
2,Feb,3725.9,0.0,0.0,0.0,0.0,0.0,0.0,3725.9,3725.9,29451.6,12.65
3,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4,Apr,3861.3,0.0,0.0,0.0,0.0,0.0,0.0,3861.3,3861.3,39000.0,9.90
5,Mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6,Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7,Jul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
8,Agu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
9,Sep,3853.1,0.0,0.0,0.0,0.0,0.0,0.0,3853.1,3853.1,13968.8,27.58
10,Okt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
11,Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
12,Des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
