provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Lampung,51169.1,54708.0,+3538.9
Kalimantan Timur,20951.9,10244.6,-10707.3
Kalimantan Barat,5183.2,6513.1,+1329.9
Jawa Barat,41234.0,4320.6,-36913.4
Sulawesi Tenggara,3603.9,2418.5,-1185.4
Nusa Tenggara Barat,10011.7,1030.0,-8981.7
Gorontalo,1537.5,1005.2,-532.3
Nusa Tenggara Timur,992.9,767.4,-225.5
Kalimantan Utara,1159.6,656.5,-503.2
Sulawesi Utara,78.6,42.9,-35.7
Sulawesi Tengah,47.3,34.7,-12.5
Sulawesi Selatan,27.7,25.2,-2.5
Sumatera Selatan,1820.7,0.0,-1820.7
Jawa Tengah,15383.5,0.0,-15383.5
DI Yogyakarta,13573.1,0.0,-13573.1
Bali,9029.4,0.0,-9029.4
Maluku,8.9,0.0,-8.9
Papua Barat,22.9,0.0,-22.9
Papua Barat Daya,9.2,0.0,-9.2
Papua,13.7,0.0,-13.7
Papua Selatan,2.7,0.0,-2.7
Papua Tengah,2.7,0.0,-2.7
Papua Pegunungan,51.3,0.0,-51.3
