periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,21088.0,1947.0,0.0,0.0,0.0,0.0,0.0,23035.0,23035.0,51114.4,45.07
2,Feb,235.5,535.9,0.0,0.0,0.0,0.0,0.0,771.4,771.4,41005.4,1.88
3,Mar,42282.3,0.0,0.0,0.0,0.0,0.0,0.0,42282.3,42282.3,63423.5,66.67
4,Apr,1820.7,0.0,0.0,0.0,0.0,0.0,0.0,1820.7,1820.7,48973.0,3.72
5,Mei,28428.6,247.0,0.0,0.0,0.0,0.0,0.0,28675.6,28675.6,45003.0,63.72
6,Jun,0.0,243.1,0.0,0.0,0.0,0.0,0.0,243.1,243.1,37500.0,0.65
7,Jul,26750.2,475.2,0.0,0.0,0.0,0.0,0.0,27225.4,27225.4,53227.4,51.15
8,Agu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.8,0.00
9,Sep,24727.5,501.0,0.0,0.0,0.0,0.0,0.0,25228.5,25228.5,51000.0,49.47
10,Okt,482.4,1057.2,0.0,0.0,0.0,0.0,0.0,1539.7,1539.7,38179.5,4.03
11,Nov,23506.4,0.0,0.0,0.0,0.0,0.0,0.0,23506.4,23506.4,35259.7,66.67
12,Des,559.7,496.6,0.0,0.0,0.0,531.0,0.0,1587.3,1587.3,39117.5,4.06
