periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,21088.0,8315.6,0.0,0.0,0.0,0.0,0.0,29403.7,29403.7,51114.4,57.53
2,Feb,1126.8,5957.8,0.0,0.0,0.0,0.0,0.0,7084.5,7084.5,41005.4,17.28
3,Mar,120.2,4320.6,0.0,6368.6,0.0,0.0,0.0,10809.5,10809.5,63423.5,17.04
4,Apr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48973.0,0.00
5,Mei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45003.0,0.00
6,Jun,0.0,4346.1,0.0,613.6,834.1,0.0,0.0,5793.8,5793.8,37500.0,15.45
7,Jul,737.1,6368.6,0.0,0.0,0.0,0.0,0.0,7105.7,7105.7,53227.4,13.35
8,Agu,0.0,0.0,0.0,0.0,0.0,0.0,1373.8,1373.8,1373.8,1373.8,100.00
9,Sep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0,0.00
10,Okt,904.7,6368.6,0.0,0.0,0.0,0.0,0.0,7273.4,7273.4,38179.5,19.05
11,Nov,390.4,0.0,0.0,6163.2,0.0,0.0,0.0,6553.6,6553.6,35259.7,18.59
12,Des,0.0,6368.6,0.0,0.0,0.0,0.0,0.0,6368.6,6368.6,39117.5,16.28
