periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591.6,0.00
2,Feb,681.4,0.0,0.0,0.0,0.0,0.0,0.0,681.4,681.4,1022.0,66.67
3,Mar,495.9,0.0,0.0,0.0,0.0,0.0,0.0,495.9,495.9,1387.2,35.75
4,Apr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.4,0.00
5,Mei,418.6,0.0,0.0,0.0,0.0,0.0,0.0,418.6,418.6,1412.6,29.64
6,Jun,312.6,0.0,0.0,0.0,0.0,0.0,0.0,312.6,312.6,2209.4,14.15
7,Jul,338.5,0.0,0.0,0.0,0.0,0.0,0.0,338.5,338.5,507.8,66.67
8,Agu,781.6,0.0,0.0,0.0,0.0,0.0,0.0,781.6,781.6,1280.4,61.04
9,Sep,625.3,0.0,0.0,0.0,0.0,0.0,0.0,625.3,625.3,1073.3,58.26
10,Okt,104.3,0.0,0.0,0.0,0.0,0.0,0.0,104.3,104.3,394.0,26.47
11,Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.1,0.00
12,Des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.1,0.00
