periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,1197.5,0.0,0.0,0.0,0.0,0.0,1197.5,1197.5,2591.6,46.21
2,Feb,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,1022.0,1022.0,1022.0,100.00
3,Mar,1127.1,0.0,0.0,260.0,0.0,0.0,0.0,1387.2,1387.2,1387.2,100.00
4,Apr,982.4,0.0,0.0,0.0,0.0,0.0,0.0,982.4,982.4,982.4,100.00
5,Mei,1247.3,0.0,0.0,0.0,0.0,0.0,0.0,1247.3,1247.3,1412.6,88.30
6,Jun,950.0,1259.3,0.0,0.0,0.0,0.0,0.0,2209.4,2209.4,2209.4,100.00
7,Jul,507.8,0.0,0.0,0.0,0.0,0.0,0.0,507.8,507.8,507.8,100.00
8,Agu,1280.4,0.0,0.0,0.0,0.0,0.0,0.0,1280.4,1280.4,1280.4,100.00
9,Sep,1073.3,0.0,0.0,0.0,0.0,0.0,0.0,1073.3,1073.3,1073.3,100.00
10,Okt,303.1,90.9,0.0,0.0,0.0,0.0,0.0,394.0,394.0,394.0,100.00
11,Nov,588.1,0.0,0.0,0.0,0.0,0.0,0.0,588.1,588.1,588.1,100.00
12,Des,445.5,739.4,0.0,0.0,0.0,584.1,0.0,1769.1,1769.1,1769.1,100.00
