periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Brazil_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,479.4,270.6,750.0,750.0,750.0,100.00
2,Feb,0.0,683.6,66.4,750.0,750.0,750.0,100.00
3,Mar,83.2,66.0,600.7,750.0,750.0,750.0,100.00
4,Apr,1493.7,0.0,0.0,1493.7,1493.7,1526.5,97.85
5,Mei,986.9,0.0,0.0,986.9,986.9,986.9,100.00
6,Jun,1492.7,551.9,0.0,2044.5,2044.5,2209.4,92.54
7,Jul,179.8,570.2,0.0,750.0,750.0,750.0,100.00
8,Agu,710.2,570.2,0.0,1280.4,1280.4,1280.4,100.00
9,Sep,1491.7,0.0,0.0,1491.7,1491.7,1797.5,82.98
10,Okt,179.8,570.2,0.0,750.0,750.0,750.0,100.00
11,Nov,144.3,404.0,201.7,750.0,750.0,750.0,100.00
12,Des,750.0,0.0,0.0,750.0,750.0,750.0,100.00
