periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Brazil_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,0.0,0.0,0.0,0.0,750.0,0.00
2,Feb,0.0,0.0,0.0,0.0,0.0,750.0,0.00
3,Mar,0.0,0.0,0.0,0.0,0.0,750.0,0.00
4,Apr,0.0,0.0,0.0,0.0,0.0,750.0,0.00
5,Mei,0.0,0.0,0.0,0.0,0.0,750.0,0.00
6,Jun,0.0,0.0,0.0,0.0,0.0,750.0,0.00
7,Jul,0.0,21.6,0.0,21.6,21.6,750.0,2.88
8,Agu,0.0,14.4,0.0,14.4,14.4,750.0,1.92
9,Sep,0.0,54.0,0.0,54.0,54.0,750.0,7.20
10,Okt,0.0,45.6,0.0,45.6,45.6,750.0,6.08
11,Nov,0.0,0.0,0.0,0.0,0.0,750.0,0.00
12,Des,0.0,40.8,0.0,40.8,40.8,750.0,5.44
