periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Brazil_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,0.0,0.0,0.0,0.0,750.0,0.00
2,Feb,0.0,625.1,124.9,750.0,750.0,750.0,100.00
3,Mar,0.0,625.1,124.9,750.0,750.0,750.0,100.00
4,Apr,0.0,0.0,0.0,0.0,0.0,750.0,0.00
5,Mei,0.0,0.0,0.0,0.0,0.0,750.0,0.00
6,Jun,0.0,408.9,0.0,408.9,408.9,750.0,54.52
7,Jul,490.0,260.0,0.0,750.0,750.0,750.0,100.00
8,Agu,302.5,447.5,0.0,750.0,750.0,750.0,100.00
9,Sep,0.0,0.0,0.0,0.0,0.0,750.0,0.00
10,Okt,302.5,447.5,0.0,750.0,750.0,750.0,100.00
11,Nov,341.1,408.9,0.0,750.0,750.0,750.0,100.00
12,Des,750.0,0.0,0.0,750.0,750.0,750.0,100.00
