periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,37387.2,4254.6,0.0,0.0,0.0,0.0,0.0,41641.8,41641.8,90731.9,45.90
2,Feb,31499.4,3168.3,0.0,0.0,0.0,0.0,0.0,34667.7,34667.7,87065.3,39.82
3,Mar,21204.0,971.1,0.0,0.0,0.0,0.0,0.0,22175.2,22175.2,102589.4,21.62
4,Apr,29784.3,2190.7,0.0,0.0,0.0,0.0,0.0,31975.0,31975.0,80289.6,39.82
5,Mei,35609.1,5535.8,0.0,0.0,0.0,0.0,0.0,41144.9,41144.9,97229.9,42.32
6,Jun,56046.5,3513.5,0.0,0.0,0.0,0.0,0.0,59560.0,59560.0,89339.9,66.67
7,Jul,54163.4,1037.3,0.0,0.0,0.0,0.0,0.0,55200.8,55200.8,82801.2,66.67
8,Agu,56657.6,122.5,0.0,0.0,0.0,0.0,0.0,56780.1,56780.1,85170.1,66.67
9,Sep,29461.6,41.0,0.0,0.0,0.0,0.0,0.0,29502.6,29502.6,73771.4,39.99
10,Okt,53922.9,1536.1,0.0,0.0,0.0,0.0,0.0,55459.0,55459.0,83188.5,66.67
11,Nov,12193.3,41.0,0.0,0.0,0.0,439.6,0.0,12673.9,12673.9,50814.8,24.94
12,Des,22934.0,3055.7,0.0,0.0,0.0,1208.9,0.0,27198.5,27198.5,75664.5,35.95
