periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,37387.2,11142.1,0.0,0.0,0.0,0.0,0.0,48529.3,48529.3,90731.9,53.49
2,Feb,35075.6,0.0,0.0,0.0,0.0,0.0,0.0,35075.6,35075.6,87065.3,40.29
3,Mar,32382.2,5384.3,0.0,0.0,0.0,0.0,0.0,37766.5,37766.5,102589.4,36.81
4,Apr,2513.2,33800.2,0.0,0.0,0.0,0.0,0.0,36313.4,36313.4,80289.6,45.23
5,Mei,2647.1,34874.5,0.0,0.0,0.0,0.0,0.0,37521.6,37521.6,97229.9,38.59
6,Jun,36359.6,0.0,0.0,0.0,0.0,0.0,0.0,36359.6,36359.6,89339.9,40.70
7,Jul,37541.0,0.0,0.0,0.0,0.0,0.0,0.0,37541.0,37541.0,82801.2,45.34
8,Agu,27474.6,10355.6,0.0,0.0,0.0,0.0,0.0,37830.2,37830.2,85170.1,44.42
9,Sep,24184.5,12112.3,0.0,0.0,0.0,0.0,0.0,36296.9,36296.9,73771.4,49.20
10,Okt,37513.1,0.0,0.0,0.0,0.0,0.0,0.0,37513.1,37513.1,83188.5,45.09
11,Nov,36376.4,0.0,0.0,0.0,0.0,0.0,0.0,36376.4,36376.4,50814.8,71.59
12,Des,37860.9,0.0,0.0,0.0,0.0,506.4,0.0,38367.3,38367.3,75664.5,50.71
