provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Jawa Timur,731335.8,717719.6,-13616.2
Kalimantan Timur,17846.6,32372.6,+14526.0
Kalimantan Tengah,13438.4,15459.3,+2020.9
Sulawesi Barat,14491.6,15233.2,+741.6
Nusa Tenggara Barat,10418.9,10640.5,+221.6
Bali,3832.2,7687.9,+3855.7
Maluku Utara,2911.7,3266.9,+355.2
Sulawesi Tenggara,2728.3,2788.8,+60.5
Nusa Tenggara Timur,1036.9,1067.8,+30.9
Gorontalo,1242.0,761.0,-481.0
Kalimantan Selatan,46.9,61.5,+14.6
Sulawesi Selatan,29.8,27.4,-2.5
Sulawesi Tengah,39.7,24.2,-15.5
Papua Pegunungan,60.7,22.2,-38.4
Sulawesi Utara,102.5,16.6,-85.9
Papua Barat,16.1,9.9,-6.2
Papua,9.8,6.0,-3.8
Papua Barat Daya,6.4,4.0,-2.5
Maluku,6.4,3.9,-2.5
Papua Tengah,1.6,1.2,-0.4
Papua Selatan,3.1,0.1,-3.0
Jawa Tengah,13357.8,0.0,-13357.8
DI Yogyakarta,12164.9,0.0,-12164.9
Banten,964.5,0.0,-964.5
Kalimantan Barat,3511.6,0.0,-3511.6
Kalimantan Utara,830.8,0.0,-830.8
