periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,63926.5,7684.6,0.0,0.0,0.0,0.0,0.0,71611.1,71611.1,107416.7,66.67
2,Feb,34073.1,11836.3,0.0,0.0,0.0,0.0,0.0,45909.4,45909.4,76957.4,59.66
3,Mar,89913.1,4224.1,0.0,0.0,0.0,0.0,0.0,94137.2,94137.2,141205.8,66.67
4,Apr,38111.9,4248.2,0.0,0.0,0.0,0.0,0.0,42360.1,42360.1,149041.5,28.42
5,Mei,47351.5,16547.6,0.0,0.0,0.0,0.0,0.0,63899.1,63899.1,189676.7,33.69
6,Jun,86967.6,8843.8,0.0,0.0,0.0,0.0,0.0,95811.4,95811.4,143717.0,66.67
7,Jul,60602.6,8936.1,0.0,0.0,0.0,511.1,0.0,70049.8,70049.8,105074.6,66.67
8,Agu,61029.7,17377.1,0.0,0.0,0.0,0.0,0.0,78406.8,78406.8,117610.2,66.67
9,Sep,95642.8,6739.8,0.0,0.0,0.0,0.0,0.0,102382.7,102382.7,153574.0,66.67
10,Okt,74205.0,6225.9,0.0,0.0,0.0,0.0,0.0,80430.9,80430.9,120646.3,66.67
11,Nov,40435.3,4257.4,0.0,0.0,0.0,0.0,0.0,44692.7,44692.7,111820.4,39.97
12,Des,35853.3,4360.0,0.0,0.0,0.0,530.5,0.0,40743.9,40743.9,125250.4,32.53
