periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,63926.5,7684.6,0.0,0.0,274.0,0.0,0.0,71885.1,71885.1,107416.7,66.92
2,Feb,57515.4,0.0,0.0,0.0,0.0,0.0,0.0,57515.4,57515.4,76957.4,74.74
3,Mar,73335.9,0.0,0.0,0.0,0.0,0.0,0.0,73335.9,73335.9,141205.8,51.94
4,Apr,59640.8,0.0,0.0,0.0,0.0,0.0,0.0,59640.8,59640.8,149041.5,40.02
5,Mei,65429.1,0.0,0.0,0.0,0.0,0.0,0.0,65429.1,65429.1,189676.7,34.50
6,Jun,63343.6,6376.7,0.0,0.0,0.0,0.0,0.0,69720.3,69720.3,143717.0,48.51
7,Jul,65831.6,0.0,0.0,0.0,0.0,0.0,0.0,65831.6,65831.6,105074.6,62.65
8,Agu,73441.8,0.0,0.0,0.0,0.0,0.0,7.5,73449.3,73449.3,117610.2,62.45
9,Sep,59552.7,0.0,0.0,0.0,0.0,0.0,0.0,59552.7,59552.7,153574.0,38.78
10,Okt,65427.1,0.0,0.0,0.0,274.0,0.0,0.0,65701.1,65701.1,120646.3,54.46
11,Nov,63313.4,0.0,0.0,0.0,0.0,0.0,0.0,63313.4,63313.4,111820.4,56.62
12,Des,72902.7,5607.4,0.0,0.0,855.1,2434.7,0.0,81800.0,81800.0,125250.4,65.31
