periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,45365.5,12161.3,0.0,0.0,0.0,0.0,0.0,57526.8,57526.8,87041.9,66.09
2,Feb,23631.7,8813.1,0.0,0.0,0.0,0.0,0.0,32444.8,32444.8,50550.4,64.18
3,Mar,25979.7,6107.0,0.0,0.0,0.0,0.0,0.0,32086.7,32086.7,48130.8,66.67
4,Apr,47152.5,6790.4,0.0,0.0,0.0,0.0,0.0,53942.9,53942.9,80916.0,66.67
5,Mei,34164.9,7575.6,0.0,0.0,0.0,0.0,0.0,41740.6,41740.6,76563.0,54.52
6,Jun,39281.5,7133.9,0.0,0.0,0.0,0.0,0.0,46415.4,46415.4,72140.5,64.34
7,Jul,33691.5,11898.6,0.0,0.0,0.0,508.8,0.0,46099.0,46099.0,70819.3,65.09
8,Agu,39269.4,10606.7,0.0,0.0,0.0,0.0,0.0,49876.1,49876.1,74814.2,66.67
9,Sep,25520.5,8006.9,0.0,0.0,0.0,0.0,0.0,33527.4,33527.4,71761.1,46.72
10,Okt,19445.5,15251.1,0.0,0.0,0.0,0.0,0.0,34696.6,34696.6,54888.9,63.21
11,Nov,19059.9,8389.7,0.0,0.0,0.0,0.0,0.0,27449.6,27449.6,54264.5,50.58
12,Des,19359.0,6896.5,0.0,0.0,20.0,530.6,0.0,26806.1,26806.1,75315.9,35.59
