periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,45365.5,12161.3,0.0,0.0,0.0,0.0,0.0,57526.8,57526.8,87041.9,66.09
2,Feb,26622.9,21834.2,0.0,0.0,0.0,0.0,0.0,48457.1,48457.1,50550.4,95.86
3,Mar,0.0,34683.4,0.0,13447.4,0.0,0.0,0.0,48130.8,48130.8,48130.8,100.00
4,Apr,0.0,14312.5,0.0,30030.0,812.5,37.4,0.0,45192.5,45192.5,80916.0,55.85
5,Mei,0.0,17298.8,0.0,26682.8,910.0,0.0,0.0,44891.6,44891.6,76563.0,58.63
6,Jun,20444.7,30314.9,0.0,0.0,0.0,0.0,0.0,50759.6,50759.6,72140.5,70.36
7,Jul,22335.0,30140.3,0.0,0.0,0.0,0.0,0.0,52475.2,52475.2,70819.3,74.10
8,Agu,0.0,26957.3,0.0,0.0,1105.0,0.0,24395.1,52457.4,52457.4,74814.2,70.12
9,Sep,0.0,49379.6,0.0,0.0,812.5,0.0,0.0,50192.1,50192.1,71761.1,69.94
10,Okt,31705.9,20867.3,0.0,0.0,0.0,0.0,0.0,52573.2,52573.2,54888.9,95.78
11,Nov,4147.8,34687.3,0.0,12006.3,0.0,0.0,0.0,50841.5,50841.5,54264.5,93.69
12,Des,34425.6,18046.0,0.0,0.0,0.0,0.0,0.0,52471.6,52471.6,75315.9,69.67
