periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Brazil_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,0.0,205.2,205.2,205.2,750.0,27.36
2,Feb,0.0,0.0,750.0,750.0,750.0,750.0,100.00
3,Mar,0.0,0.0,750.0,750.0,750.0,750.0,100.00
4,Apr,0.0,0.0,0.0,0.0,0.0,750.0,0.00
5,Mei,0.0,0.0,0.0,0.0,0.0,750.0,0.00
6,Jun,0.0,0.0,0.0,0.0,0.0,750.0,0.00
7,Jul,0.0,0.0,0.0,0.0,0.0,750.0,0.00
8,Agu,0.0,0.0,0.0,0.0,0.0,750.0,0.00
9,Sep,0.0,0.0,0.0,0.0,0.0,750.0,0.00
10,Okt,0.0,0.0,0.0,0.0,0.0,750.0,0.00
11,Nov,0.0,0.0,0.0,0.0,0.0,750.0,0.00
12,Des,0.0,0.0,307.2,307.2,307.2,750.0,40.96
