periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,28.7,14.3,28.7,0.0,0.0,43.0,14.3,0.0,0,1.0000
2,Feb,25.3,12.6,25.1,0.0,0.0,37.7,26.8,0.0,0,1.0000
3,Mar,22.2,11.1,22.2,0.0,0.0,33.2,37.9,0.0,1,1.0000
4,Apr,26.9,13.5,26.9,0.0,0.0,40.4,51.3,0.0,1,1.0000
5,Mei,27.8,13.9,27.8,0.0,0.0,41.7,65.2,0.0,1,1.0000
6,Jun,62.1,31.1,62.1,0.0,0.0,93.2,96.3,0.0,1,1.0000
7,Jul,52.5,23.9,47.9,0.0,0.0,71.8,115.6,0.0,1,1.0000
8,Agu,24.7,8.2,21.4,0.0,0.0,29.7,120.6,0.0,1,1.0000
9,Sep,26.5,7.2,14.3,0.0,0.0,21.5,115.6,0.0,1,1.0000
10,Okt,16.9,5.6,11.3,0.0,0.0,16.9,115.6,0.0,1,1.0000
11,Nov,16.4,6.0,10.4,0.0,0.0,16.4,115.6,0.0,1,1.0000
12,Des,16.9,8.0,8.9,0.0,0.0,16.9,115.6,0.0,1,1.0000
