periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,28.7,28.7,0.0,0.0,0.0,28.7,0.0,-0.0,0,1.0000
2,Feb,25.3,25.3,0.0,0.0,0.0,25.3,0.0,-0.0,0,1.0000
3,Mar,22.2,22.2,0.0,0.0,0.0,22.2,0.0,-0.0,0,1.0000
4,Apr,26.9,26.9,0.0,0.0,0.0,26.9,0.0,-0.0,0,1.0000
5,Mei,27.8,27.8,0.0,0.0,0.0,27.8,0.0,-0.0,0,1.0000
6,Jun,62.1,62.1,0.0,0.0,0.0,62.1,0.0,-0.0,0,1.0000
7,Jul,52.5,52.5,0.0,0.0,0.0,52.5,0.0,-0.0,0,1.0000
8,Agu,24.7,24.7,0.0,0.0,0.0,24.7,0.0,-0.0,0,1.0000
9,Sep,26.5,26.5,0.0,0.0,0.0,26.5,0.0,-0.0,0,1.0000
10,Okt,16.9,16.9,0.0,0.0,0.0,16.9,0.0,-0.0,0,1.0000
11,Nov,16.4,16.4,0.0,0.0,0.0,16.4,0.0,-0.0,0,1.0000
12,Des,16.9,16.9,0.0,0.0,0.0,16.9,0.0,-0.0,0,1.0000
