periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,2448.8,67.7,2448.8,0.0,0.0,2516.5,67.7,0.0,0,1.0000
2,Feb,2297.3,94.8,2280.1,0.0,0.0,2374.8,145.2,0.0,0,1.0000
3,Mar,2449.5,243.7,2624.5,0.0,0.0,2868.3,564.0,0.0,0,1.0000
4,Apr,2376.9,487.5,3403.2,0.0,0.0,3890.6,2077.8,0.0,0,1.0000
5,Mei,2451.8,528.1,3726.7,0.0,0.0,4254.8,3880.8,0.0,1,1.0000
6,Jun,2374.3,311.4,4257.5,0.0,0.0,4568.9,6075.4,0.0,1,1.0000
7,Jul,2452.6,203.1,3438.9,0.0,0.0,3642.0,7264.8,0.0,1,1.0000
8,Agu,2464.1,379.1,2632.2,0.0,0.0,3011.4,7812.1,0.0,1,1.0000
9,Sep,2369.8,408.8,5816.0,0.0,0.0,6224.8,11667.0,0.0,1,1.0000
10,Okt,2448.3,39.2,409.9,0.0,0.0,449.0,9667.7,0.0,1,1.0000
11,Nov,2368.6,135.4,2101.3,0.0,0.0,2236.7,9535.8,0.0,1,1.0000
12,Des,2451.9,135.4,1558.1,0.0,0.0,1693.5,8777.4,0.0,1,1.0000
