periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,2448.8,67.7,7746.5,0.0,0.0,7814.2,5365.5,0.0,1,1.0000
2,Feb,2297.3,0.0,2297.3,0.0,0.0,2297.3,5365.5,0.0,1,1.0000
3,Mar,2449.5,0.0,2449.5,0.0,0.0,2449.5,5365.5,0.0,1,1.0000
4,Apr,2376.9,0.0,2376.9,0.0,0.0,2376.9,5365.5,0.0,1,1.0000
5,Mei,2451.8,0.0,2451.8,0.0,0.0,2451.8,5365.5,0.0,1,1.0000
6,Jun,2374.3,0.0,2867.5,0.0,0.0,2867.5,5858.6,0.0,1,1.0000
7,Jul,2452.6,0.0,2452.6,0.0,0.0,2452.6,5858.6,0.0,1,1.0000
8,Agu,2464.1,0.0,2464.4,0.0,0.0,2464.4,5858.9,0.0,1,1.0000
9,Sep,2369.8,0.0,2369.8,0.0,0.0,2369.8,5858.9,0.0,1,1.0000
10,Okt,2448.3,0.0,4596.5,0.0,0.0,4596.5,8007.0,0.0,1,1.0000
11,Nov,2368.6,0.0,2459.1,0.0,0.0,2459.1,8097.5,0.0,1,1.0000
12,Des,2451.9,0.0,2774.0,0.0,0.0,2774.0,8419.5,0.0,1,1.0000
