periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,7989.4,38.5,11062.0,0.0,0.0,11100.6,3111.2,0.0,0,1.0000
2,Feb,7471.9,53.9,7415.8,0.0,0.0,7469.7,3109.0,0.0,0,1.0000
3,Mar,7986.6,138.7,16062.8,0.0,0.0,16201.5,11323.9,0.0,1,1.0000
4,Apr,7728.9,277.4,7728.9,0.0,0.0,8006.3,11601.3,0.0,1,1.0000
5,Mei,7986.6,300.5,16673.5,0.0,0.0,16974.0,20588.7,0.0,1,1.0000
6,Jun,7728.9,177.2,8022.6,0.0,0.0,8199.9,21059.6,0.0,1,1.0000
7,Jul,7986.8,98.2,21587.4,0.0,0.0,21685.7,34758.5,0.0,1,1.0000
8,Agu,7986.5,121.9,4758.4,0.0,0.0,4880.2,31652.2,0.0,1,1.0000
9,Sep,7731.6,96.0,20021.3,0.0,0.0,20117.4,44037.9,0.0,1,1.0000
10,Okt,7986.7,0.0,18500.0,0.0,0.0,18500.0,54551.2,0.0,1,1.0000
11,Nov,7728.9,0.0,0.0,0.0,0.0,0.0,46822.4,0.0,1,1.0000
12,Des,7995.2,0.0,0.0,0.0,0.0,0.0,38827.2,0.0,1,1.0000
