periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,7989.4,38.5,17387.7,0.0,0.0,17426.3,9436.9,0.0,1,1.0000
2,Feb,7471.9,0.0,7471.9,0.0,0.0,7471.9,9436.9,0.0,1,1.0000
3,Mar,7986.6,0.0,7986.6,0.0,0.0,7986.6,9436.9,0.0,1,1.0000
4,Apr,7728.9,0.0,7728.9,0.0,0.0,7728.9,9436.9,0.0,1,1.0000
5,Mei,7986.6,0.0,7986.6,0.0,0.0,7986.6,9436.9,0.0,1,1.0000
6,Jun,7728.9,0.0,8244.0,0.0,0.0,8244.0,9952.0,0.0,1,1.0000
7,Jul,7986.8,0.0,7986.8,0.0,0.0,7986.8,9952.0,0.0,1,1.0000
8,Agu,7986.5,0.0,7986.5,0.0,0.0,7986.5,9952.0,0.0,1,1.0000
9,Sep,7731.6,0.0,7731.6,0.0,0.0,7731.6,9952.0,0.0,1,1.0000
10,Okt,7986.7,0.0,7986.7,0.0,0.0,7986.7,9952.0,0.0,1,1.0000
11,Nov,7728.9,0.0,7728.9,0.0,0.0,7728.9,9952.0,0.0,1,1.0000
12,Des,7995.2,0.0,8859.5,0.0,0.0,8859.5,10816.2,0.0,1,1.0000
