periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,5902.3,0.0,8172.3,0.0,0.0,8172.3,2270.0,0.0,0,1.0000
2,Feb,5516.0,0.0,5474.5,0.0,0.0,5474.5,2228.6,0.0,0,1.0000
3,Mar,5897.0,0.0,11860.2,0.0,0.0,11860.2,8191.7,0.0,1,1.0000
4,Apr,5708.0,0.0,5708.0,0.0,0.0,5708.0,8191.7,0.0,1,1.0000
5,Mei,5896.0,0.0,12309.1,0.0,0.0,12309.1,14604.8,0.0,1,1.0000
6,Jun,5705.8,0.0,5705.8,0.0,0.0,5705.8,14604.8,0.0,1,1.0000
7,Jul,5896.0,0.0,17135.4,0.0,0.0,17135.4,25844.2,0.0,1,1.0000
8,Agu,5896.1,0.0,3929.1,0.0,0.0,3929.1,23877.2,0.0,1,1.0000
9,Sep,5705.8,0.0,13588.5,0.0,0.0,13588.5,31759.9,0.0,1,1.0000
10,Okt,5896.0,0.0,0.0,0.0,0.0,0.0,25863.9,0.0,1,1.0000
11,Nov,5705.8,0.0,3931.0,0.0,0.0,3931.0,24089.1,0.0,1,1.0000
12,Des,5896.0,0.0,3302.8,0.0,0.0,3302.8,21495.9,0.0,1,1.0000
