periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,5902.3,0.0,9276.3,0.0,0.0,9276.3,3374.0,0.0,0,1.0000
2,Feb,5516.0,0.0,5516.0,0.0,0.0,5516.0,3374.0,0.0,0,1.0000
3,Mar,5897.0,525.0,5372.1,0.0,0.0,5897.0,3374.0,0.0,0,1.0000
4,Apr,5708.0,5708.0,0.0,0.0,0.0,5708.0,3374.0,0.0,0,1.0000
5,Mei,5896.0,5896.0,0.0,0.0,0.0,5896.0,3374.0,0.0,0,1.0000
6,Jun,5705.8,5705.8,0.0,0.0,0.0,5705.8,3374.0,0.0,0,1.0000
7,Jul,5896.0,0.0,5896.0,0.0,0.0,5896.0,3374.0,0.0,0,1.0000
8,Agu,5896.1,5896.1,0.0,0.0,0.0,5896.1,3374.0,0.0,0,1.0000
9,Sep,5705.8,5705.8,0.0,0.0,0.0,5705.8,3374.0,0.0,0,1.0000
10,Okt,5896.0,536.3,5359.7,0.0,0.0,5896.0,3374.0,0.0,0,1.0000
11,Nov,5705.8,0.0,5705.8,0.0,0.0,5705.8,3374.0,0.0,0,1.0000
12,Des,5896.0,0.0,6533.3,0.0,0.0,6533.3,4011.3,0.0,0,1.0000
