periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,6887.4,151.7,7625.3,0.0,0.0,7777.1,889.6,0.0,0,1.0000
2,Feb,6443.4,212.4,6395.0,0.0,0.0,6607.4,1053.6,0.0,0,1.0000
3,Mar,6888.1,546.2,6888.1,0.0,0.0,7434.3,1599.7,0.0,0,1.0000
4,Apr,6669.4,1092.3,6669.4,0.0,0.0,7761.7,2692.1,0.0,0,1.0000
5,Mei,6889.8,1183.3,7555.1,0.0,0.0,8738.4,4540.7,0.0,0,1.0000
6,Jun,6680.1,697.9,14887.0,0.0,0.0,15584.9,13445.5,0.0,1,1.0000
7,Jul,6895.1,455.1,10138.6,0.0,0.0,10593.7,17144.1,0.0,1,1.0000
8,Agu,6929.6,849.6,10952.9,0.0,0.0,11802.5,22017.1,0.0,1,1.0000
9,Sep,6684.9,940.6,6684.9,0.0,0.0,7625.5,22957.7,0.0,1,1.0000
10,Okt,6887.4,546.2,7174.1,0.0,0.0,7720.3,23790.5,0.0,1,1.0000
11,Nov,6672.0,303.4,5769.8,0.0,0.0,6073.3,23191.8,0.0,1,1.0000
12,Des,6894.6,303.4,4623.2,0.0,0.0,4926.6,21223.8,0.0,1,1.0000
