periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,6887.4,0.0,8171.4,0.0,0.0,8171.4,1284.0,0.0,0,1.0000
2,Feb,6443.4,0.0,6443.4,0.0,0.0,6443.4,1284.0,0.0,0,1.0000
3,Mar,6888.1,0.0,6888.1,0.0,0.0,6888.1,1284.0,0.0,0,1.0000
4,Apr,6669.4,0.0,6669.4,0.0,0.0,6669.4,1284.0,0.0,0,1.0000
5,Mei,6889.8,0.0,6889.8,0.0,0.0,6889.8,1284.0,0.0,0,1.0000
6,Jun,6680.1,0.0,6680.1,0.0,0.0,6680.1,1284.0,0.0,0,1.0000
7,Jul,6895.1,0.0,6895.1,0.0,0.0,6895.1,1284.0,0.0,0,1.0000
8,Agu,6929.6,0.0,6929.6,0.0,0.0,6929.6,1284.0,0.0,0,1.0000
9,Sep,6684.9,0.0,6684.9,0.0,0.0,6684.9,1284.0,0.0,0,1.0000
10,Okt,6887.4,0.0,6887.4,0.0,0.0,6887.4,1284.0,0.0,0,1.0000
11,Nov,6672.0,0.0,6672.0,0.0,0.0,6672.0,1284.0,0.0,0,1.0000
12,Des,6894.6,0.0,7033.9,0.0,0.0,7033.9,1423.2,0.0,0,1.0000
