periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,18953.6,0.0,20786.8,0.0,0.0,20786.8,1833.2,0.0,0,1.0000
2,Feb,17119.4,0.0,16990.8,0.0,0.0,16990.8,1704.6,0.0,0,1.0000
3,Mar,18953.6,0.0,18953.6,0.0,0.0,18953.6,1704.6,0.0,0,1.0000
4,Apr,18342.2,0.0,18342.2,0.0,0.0,18342.2,1704.6,0.0,0,1.0000
5,Mei,18953.6,0.0,18953.6,0.0,0.0,18953.6,1704.6,0.0,0,1.0000
6,Jun,18342.2,0.0,18342.2,0.0,0.0,18342.2,1704.6,0.0,0,1.0000
7,Jul,18953.6,0.0,18953.6,0.0,0.0,18953.6,1704.6,0.0,0,1.0000
8,Agu,18953.6,0.0,19418.2,0.0,0.0,19418.2,2169.2,0.0,0,1.0000
9,Sep,18342.2,0.0,18342.2,0.0,0.0,18342.2,2169.2,0.0,0,1.0000
10,Okt,18953.6,0.0,18953.6,0.0,0.0,18953.6,2169.2,0.0,0,1.0000
11,Nov,18342.2,0.0,15862.1,0.0,0.0,15862.1,0.0,310.9,0,0.9830
12,Des,18953.6,0.0,10616.8,0.0,0.0,10616.8,0.0,8336.9,0,0.5601
