periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,387.7,32.3,642.6,0.0,0.0,674.9,287.2,0.0,0,1.0000
2,Feb,362.7,45.2,360.0,0.0,0.0,405.2,329.6,0.0,0,1.0000
3,Mar,387.8,116.2,503.7,0.0,0.0,619.9,561.7,0.0,1,1.0000
4,Apr,375.2,187.6,537.2,0.0,0.0,724.8,911.3,0.0,1,1.0000
5,Mei,387.7,193.9,589.3,0.0,0.0,783.2,1306.8,0.0,1,1.0000
6,Jun,375.3,121.7,551.6,0.0,0.0,673.4,1604.9,0.0,1,1.0000
7,Jul,387.7,54.4,305.5,0.0,0.0,360.0,1577.2,0.0,1,1.0000
8,Agu,387.7,115.2,264.1,0.0,0.0,379.3,1568.7,0.0,1,1.0000
9,Sep,375.2,85.5,430.7,0.0,0.0,516.2,1709.7,0.0,1,1.0000
10,Okt,429.5,54.3,235.0,0.0,0.0,289.3,1569.6,0.0,1,1.0000
11,Nov,397.9,61.4,335.8,0.0,0.0,397.2,1568.9,0.0,1,1.0000
12,Des,426.7,64.6,239.2,0.0,0.0,303.8,1445.9,0.0,1,1.0000
