periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,387.7,32.3,1005.2,0.0,0.0,1037.5,649.8,0.0,1,1.0000
2,Feb,362.7,0.0,362.7,0.0,0.0,362.7,649.8,0.0,1,1.0000
3,Mar,387.8,0.0,387.8,0.0,0.0,387.8,649.8,0.0,1,1.0000
4,Apr,375.2,0.0,375.2,0.0,0.0,375.2,649.8,0.0,1,1.0000
5,Mei,387.7,0.0,387.7,0.0,0.0,387.7,649.8,0.0,1,1.0000
6,Jun,375.3,0.0,453.2,0.0,0.0,453.2,727.7,0.0,1,1.0000
7,Jul,387.7,0.0,387.7,0.0,0.0,387.7,727.7,0.0,1,1.0000
8,Agu,387.7,0.0,387.8,0.0,0.0,387.8,727.7,0.0,1,1.0000
9,Sep,375.2,0.0,375.2,0.0,0.0,375.2,727.7,0.0,1,1.0000
10,Okt,429.5,0.0,430.7,0.0,0.0,430.7,728.9,0.0,1,1.0000
11,Nov,397.9,0.0,413.1,0.0,0.0,413.1,744.1,0.0,1,1.0000
12,Des,426.7,0.0,340.6,0.0,0.0,340.6,658.0,0.0,1,1.0000
