periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1766.4,96.5,2445.7,0.0,0.0,2542.2,775.8,0.0,0,1.0000
2,Feb,1652.0,135.1,1639.6,0.0,0.0,1774.7,898.5,0.0,0,1.0000
3,Mar,1766.0,347.3,3551.8,0.0,0.0,3899.1,3031.6,0.0,1,1.0000
4,Apr,1709.0,694.7,1709.0,0.0,0.0,2403.7,3726.3,0.0,1,1.0000
5,Mei,1765.8,752.6,3686.5,0.0,0.0,4439.1,6399.6,0.0,1,1.0000
6,Jun,1709.4,443.8,1709.4,0.0,0.0,2153.3,6843.4,0.0,1,1.0000
7,Jul,1766.5,107.6,2088.8,0.0,0.0,2196.4,7273.3,0.0,1,1.0000
8,Agu,1765.8,338.4,1444.1,0.0,0.0,1782.5,7289.9,0.0,1,1.0000
9,Sep,1708.9,175.3,3226.0,0.0,0.0,3401.3,8982.3,0.0,1,1.0000
10,Okt,1766.0,0.0,0.0,0.0,0.0,0.0,7216.3,0.0,1,1.0000
11,Nov,1708.9,166.8,1647.2,0.0,0.0,1814.0,7321.4,0.0,1,1.0000
12,Des,1770.6,193.0,991.9,0.0,0.0,1184.8,6735.6,0.0,1,1.0000
