periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1766.4,0.0,2776.1,0.0,0.0,2776.1,1009.7,0.0,0,1.0000
2,Feb,1652.0,0.0,1652.0,0.0,0.0,1652.0,1009.7,0.0,0,1.0000
3,Mar,1766.0,1766.0,0.0,0.0,0.0,1766.0,1009.7,0.0,0,1.0000
4,Apr,1709.0,1709.0,0.0,0.0,0.0,1709.0,1009.7,0.0,0,1.0000
5,Mei,1765.8,1765.8,0.0,0.0,0.0,1765.8,1009.7,0.0,0,1.0000
6,Jun,1709.4,1709.4,0.0,0.0,0.0,1709.4,1009.7,0.0,0,1.0000
7,Jul,1766.5,1766.5,0.0,0.0,0.0,1766.5,1009.7,0.0,0,1.0000
8,Agu,1765.8,1765.8,0.0,0.0,0.0,1765.8,1009.7,0.0,0,1.0000
9,Sep,1708.9,1708.9,0.0,0.0,0.0,1708.9,1009.7,0.0,0,1.0000
10,Okt,1766.0,1766.0,0.0,0.0,0.0,1766.0,1009.7,0.0,0,1.0000
11,Nov,1708.9,24.3,1684.5,0.0,0.0,1708.9,1009.7,0.0,0,1.0000
12,Des,1770.6,0.0,1962.0,0.0,0.0,1962.0,1201.1,0.0,0,1.0000
