periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,33499.8,750.2,36740.0,0.0,0.0,37490.2,3990.4,0.0,0,1.0000
2,Feb,31337.7,1050.3,31102.3,0.0,0.0,32152.6,4805.3,0.0,0,1.0000
3,Mar,33497.8,2700.9,33497.8,0.0,0.0,36198.6,7506.1,0.0,0,1.0000
4,Apr,32422.2,5401.7,32422.2,0.0,0.0,37823.9,12907.9,0.0,0,1.0000
5,Mei,33514.4,5851.9,33560.0,0.0,0.0,39411.8,18805.2,0.0,0,1.0000
6,Jun,32417.4,3451.1,38567.1,0.0,0.0,42018.2,28406.1,0.0,0,1.0000
7,Jul,33521.6,2250.7,34154.7,0.0,0.0,36405.4,31289.9,0.0,0,1.0000
8,Agu,33503.8,4201.3,38337.2,0.0,0.0,42538.6,40324.7,0.0,1,1.0000
9,Sep,32415.2,4651.5,32423.1,0.0,0.0,37074.6,44984.1,0.0,1,1.0000
10,Okt,33619.6,2700.9,52753.8,0.0,0.0,55454.7,66819.2,0.0,1,1.0000
11,Nov,32499.2,1500.5,28107.6,0.0,0.0,29608.1,63928.0,0.0,1,1.0000
12,Des,33517.9,1500.5,18916.8,0.0,0.0,20417.3,50827.4,0.0,1,1.0000
