periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,33499.8,750.2,36740.0,0.0,0.0,37490.2,3990.4,0.0,0,1.0000
2,Feb,31337.7,0.0,31337.7,0.0,0.0,31337.7,3990.4,0.0,0,1.0000
3,Mar,33497.8,0.0,33497.8,0.0,0.0,33497.8,3990.4,0.0,0,1.0000
4,Apr,32422.2,0.0,32422.2,0.0,0.0,32422.2,3990.4,0.0,0,1.0000
5,Mei,33514.4,0.0,33514.4,0.0,0.0,33514.4,3990.4,0.0,0,1.0000
6,Jun,32417.4,0.0,32417.4,0.0,0.0,32417.4,3990.4,0.0,0,1.0000
7,Jul,33521.6,0.0,33521.6,0.0,0.0,33521.6,3990.4,0.0,0,1.0000
8,Agu,33503.8,0.0,33503.8,0.0,0.0,33503.8,3990.4,0.0,0,1.0000
9,Sep,32415.2,0.0,32415.2,0.0,0.0,32415.2,3990.4,0.0,0,1.0000
10,Okt,33619.6,0.0,33619.6,0.0,0.0,33619.6,3990.4,0.0,0,1.0000
11,Nov,32499.2,0.0,32499.2,0.0,0.0,32499.2,3990.4,0.0,0,1.0000
12,Des,33517.9,0.0,33517.9,0.0,0.0,33517.9,3990.4,0.0,0,1.0000
