periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,30724.7,1292.3,34016.5,0.0,0.0,35308.8,4584.1,0.0,0,1.0000
2,Feb,28632.2,1809.3,28417.1,0.0,0.0,30226.3,6178.2,0.0,0,1.0000
3,Mar,30625.2,4652.4,30625.2,0.0,0.0,35277.5,10830.6,0.0,0,1.0000
4,Apr,29644.0,9304.7,29644.0,0.0,0.0,38948.8,20135.3,0.0,0,1.0000
5,Mei,30631.8,10080.1,33589.8,0.0,0.0,43669.9,33173.4,0.0,1,1.0000
6,Jun,29679.5,5944.7,46632.2,0.0,0.0,52576.9,56070.9,0.0,1,1.0000
7,Jul,30645.9,3877.0,45062.2,0.0,0.0,48939.2,74364.1,0.0,1,1.0000
8,Agu,30647.5,7237.0,35891.8,0.0,0.0,43128.8,86845.5,0.0,1,1.0000
9,Sep,29611.9,8012.4,29611.9,0.0,0.0,37624.4,94857.9,0.0,1,1.0000
10,Okt,30625.6,4652.4,31900.3,0.0,0.0,36552.6,100785.0,0.0,1,1.0000
11,Nov,29704.4,2584.7,25688.0,0.0,0.0,28272.7,99353.2,0.0,1,1.0000
12,Des,30713.0,2584.7,20594.8,0.0,0.0,23179.5,91819.7,0.0,1,1.0000
