periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,30724.7,1292.3,40357.8,0.0,0.0,41650.2,10925.4,0.0,0,1.0000
2,Feb,28632.2,0.0,28632.2,0.0,0.0,28632.2,10925.4,0.0,0,1.0000
3,Mar,30625.2,0.0,30625.2,0.0,0.0,30625.2,10925.4,0.0,0,1.0000
4,Apr,29644.0,0.0,29644.0,0.0,0.0,29644.0,10925.4,0.0,0,1.0000
5,Mei,30631.8,0.0,30631.8,0.0,0.0,30631.8,10925.4,0.0,0,1.0000
6,Jun,29679.5,0.0,29679.5,0.0,0.0,29679.5,10925.4,0.0,0,1.0000
7,Jul,30645.9,0.0,30645.9,0.0,0.0,30645.9,10925.4,0.0,0,1.0000
8,Agu,30647.5,0.0,30647.5,0.0,0.0,30647.5,10925.4,0.0,0,1.0000
9,Sep,29611.9,0.0,29611.9,0.0,0.0,29611.9,10925.4,0.0,0,1.0000
10,Okt,30625.6,0.0,30625.6,0.0,0.0,30625.6,10925.4,0.0,0,1.0000
11,Nov,29704.4,0.0,29704.4,0.0,0.0,29704.4,10925.4,0.0,0,1.0000
12,Des,30713.0,0.0,31333.4,0.0,0.0,31333.4,11545.8,0.0,0,1.0000
