periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,58653.2,1451.2,68219.5,0.0,0.0,69670.6,11017.4,0.0,0,1.0000
2,Feb,54844.5,2031.6,54432.5,0.0,0.0,56464.2,12637.0,0.0,0,1.0000
3,Mar,58892.7,5224.2,76492.7,0.0,0.0,81716.9,35461.2,0.0,0,1.0000
4,Apr,56827.8,10448.5,56827.8,0.0,0.0,67276.3,45909.7,0.0,0,1.0000
5,Mei,58567.8,11319.2,60878.1,0.0,0.0,72197.3,59539.1,0.0,0,1.0000
6,Jun,56701.8,6675.4,91283.6,0.0,0.0,97959.0,100796.4,0.0,1,1.0000
7,Jul,58973.3,4353.5,66761.3,0.0,0.0,71114.8,112937.9,0.0,1,1.0000
8,Agu,58851.6,8126.6,62866.5,0.0,0.0,70993.1,125079.4,0.0,1,1.0000
9,Sep,56740.1,8997.3,95934.9,0.0,0.0,104932.2,173271.5,0.0,1,1.0000
10,Okt,58570.1,5224.2,68590.1,0.0,0.0,73814.3,188515.7,0.0,1,1.0000
11,Nov,56676.4,2902.4,56213.2,0.0,0.0,59115.6,190954.9,0.0,1,1.0000
12,Des,58628.2,2902.4,32869.7,0.0,0.0,35772.1,168098.8,0.0,1,1.0000
