periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,58653.2,1451.2,68524.4,0.0,0.0,69975.6,11322.3,0.0,0,1.0000
2,Feb,54844.5,0.0,54844.5,0.0,0.0,54844.5,11322.3,0.0,0,1.0000
3,Mar,58892.7,0.0,58892.7,0.0,0.0,58892.7,11322.3,0.0,0,1.0000
4,Apr,56827.8,0.0,56827.8,0.0,0.0,56827.8,11322.3,0.0,0,1.0000
5,Mei,58567.8,0.0,58567.8,0.0,0.0,58567.8,11322.3,0.0,0,1.0000
6,Jun,56701.8,0.0,62409.9,0.0,0.0,62409.9,17030.4,0.0,0,1.0000
7,Jul,58973.3,0.0,58973.3,0.0,0.0,58973.3,17030.4,0.0,0,1.0000
8,Agu,58851.6,0.0,58857.6,0.0,0.0,58857.6,17036.4,0.0,0,1.0000
9,Sep,56740.1,0.0,56740.1,0.0,0.0,56740.1,17036.4,0.0,0,1.0000
10,Okt,58570.1,0.0,60075.9,0.0,0.0,60075.9,18542.2,0.0,0,1.0000
11,Nov,56676.4,0.0,56676.4,0.0,0.0,56676.4,18542.2,0.0,0,1.0000
12,Des,58628.2,0.0,66329.1,0.0,0.0,66329.1,26243.1,0.0,0,1.0000
