periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Panjang,3233.9
2,Feb,Panjang,1126.8
3,Mar,Panjang,120.2
3,Mar,Pontianak,1127.1
4,Apr,Batu Ampar,224.7
4,Apr,Pontianak,982.4
5,Mei,Pontianak,1247.3
6,Jun,Pontianak,1900.1
7,Jul,Panjang,737.1
7,Jul,Batu Ampar,2.5
7,Jul,Pontianak,507.8
8,Agu,Pontianak,1247.3
9,Sep,Batu Ampar,133.9
9,Sep,Pontianak,1073.3
10,Okt,Panjang,904.7
10,Okt,Pontianak,394.0
11,Nov,Panjang,390.4
11,Nov,Batu Ampar,228.6
11,Nov,Pontianak,588.1
12,Des,Belawan,2.6
12,Des,Pontianak,1412.1
