periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1247.3,0.0,2067.4,0.0,0.0,2067.4,820.0,0.0,0,1.0000
2,Feb,1126.8,0.0,1118.3,0.0,0.0,1118.3,811.6,0.0,0,1.0000
3,Mar,1247.3,0.0,1471.9,0.0,0.0,1471.9,1036.2,0.0,0,1.0000
4,Apr,1207.1,0.0,1207.1,0.0,0.0,1207.1,1036.2,0.0,0,1.0000
5,Mei,1247.3,0.0,1678.3,0.0,0.0,1678.3,1467.1,0.0,1,1.0000
6,Jun,1207.1,0.0,1547.3,0.0,0.0,1547.3,1807.3,0.0,1,1.0000
7,Jul,1247.3,0.0,1612.9,0.0,0.0,1612.9,2172.8,0.0,1,1.0000
8,Agu,1247.3,0.0,1279.1,0.0,0.0,1279.1,2204.5,0.0,1,1.0000
9,Sep,1207.1,0.0,1207.1,0.0,0.0,1207.1,2204.5,0.0,1,1.0000
10,Okt,1247.3,0.0,1442.9,0.0,0.0,1442.9,2400.1,0.0,1,1.0000
11,Nov,1207.1,0.0,1567.9,0.0,0.0,1567.9,2760.8,0.0,1,1.0000
12,Des,1247.3,0.0,699.3,0.0,0.0,699.3,2212.8,0.0,1,1.0000
