periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1247.3,0.0,3233.9,0.0,0.0,3233.9,1986.5,0.0,1,1.0000
2,Feb,1126.8,0.0,1126.8,0.0,0.0,1126.8,1986.5,0.0,1,1.0000
3,Mar,1247.3,0.0,1247.3,0.0,0.0,1247.3,1986.5,0.0,1,1.0000
4,Apr,1207.1,0.0,1207.1,0.0,0.0,1207.1,1986.5,0.0,1,1.0000
5,Mei,1247.3,0.0,1247.3,0.0,0.0,1247.3,1986.5,0.0,1,1.0000
6,Jun,1207.1,0.0,1900.1,0.0,0.0,1900.1,2679.5,0.0,1,1.0000
7,Jul,1247.3,0.0,1247.3,0.0,0.0,1247.3,2679.5,0.0,1,1.0000
8,Agu,1247.3,0.0,1247.3,0.0,0.0,1247.3,2679.5,0.0,1,1.0000
9,Sep,1207.1,0.0,1207.1,0.0,0.0,1207.1,2679.5,0.0,1,1.0000
10,Okt,1247.3,0.0,1298.7,0.0,0.0,1298.7,2730.9,0.0,1,1.0000
11,Nov,1207.1,0.0,1207.1,0.0,0.0,1207.1,2730.9,0.0,1,1.0000
12,Des,1247.3,0.0,1414.7,0.0,0.0,1414.7,2898.2,0.0,1,1.0000
