periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,13.9,6.9,16.1,0.0,0.0,23.1,9.2,0.0,1,1.0000
2,Feb,4.0,2.0,4.0,0.0,0.0,6.0,11.2,0.0,1,1.0000
3,Mar,4.9,2.5,6.4,0.0,0.0,8.9,15.1,0.0,1,1.0000
4,Apr,4.3,2.1,4.3,0.0,0.0,6.4,17.2,0.0,1,1.0000
5,Mei,4.0,2.0,4.2,0.0,0.0,6.2,19.4,0.0,1,1.0000
6,Jun,6.3,1.8,5.9,0.0,0.0,7.7,20.8,0.0,1,1.0000
7,Jul,4.1,1.3,2.8,0.0,0.0,4.1,20.8,0.0,1,1.0000
8,Agu,4.5,1.5,3.1,0.0,0.0,4.6,20.9,0.0,1,1.0000
9,Sep,4.3,1.0,3.2,0.0,0.0,4.2,20.8,0.0,1,1.0000
10,Okt,4.3,1.3,3.1,0.0,0.0,4.4,20.9,0.0,1,1.0000
11,Nov,3.8,1.4,2.4,0.0,0.0,3.8,20.8,0.0,1,1.0000
12,Des,3.9,1.8,2.0,0.0,0.0,3.8,20.8,0.0,1,1.0000
