periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,13.9,6.9,16.2,0.0,0.0,23.1,9.3,0.0,1,1.0000
2,Feb,4.0,0.0,4.0,0.0,0.0,4.0,9.3,0.0,1,1.0000
3,Mar,4.9,0.0,4.9,0.0,0.0,4.9,9.3,0.0,1,1.0000
4,Apr,4.3,0.0,4.3,0.0,0.0,4.3,9.3,0.0,1,1.0000
5,Mei,4.0,0.0,4.0,0.0,0.0,4.0,9.3,0.0,1,1.0000
6,Jun,6.3,0.0,7.0,0.0,0.0,7.0,9.9,0.0,1,1.0000
7,Jul,4.1,0.0,4.1,0.0,0.0,4.1,9.9,0.0,1,1.0000
8,Agu,4.5,0.0,4.5,0.0,0.0,4.5,9.9,0.0,1,1.0000
9,Sep,4.3,0.0,4.3,0.0,0.0,4.3,9.9,0.0,1,1.0000
10,Okt,4.3,0.0,4.3,0.0,0.0,4.3,9.9,0.0,1,1.0000
11,Nov,3.8,0.0,3.8,0.0,0.0,3.8,9.9,0.0,1,1.0000
12,Des,3.9,0.0,4.4,0.0,0.0,4.4,10.4,0.0,1,1.0000
