periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1264.4,0.0,1470.6,0.0,0.0,1470.6,206.2,0.0,0,1.0000
2,Feb,1178.6,0.0,1169.7,0.0,0.0,1169.7,197.4,0.0,0,1.0000
3,Mar,1264.5,0.0,1642.3,0.0,0.0,1642.3,575.2,0.0,0,1.0000
4,Apr,1223.7,0.0,1223.7,0.0,0.0,1223.7,575.2,0.0,0,1.0000
5,Mei,1264.5,0.0,1314.3,0.0,0.0,1314.3,625.1,0.0,0,1.0000
6,Jun,1223.8,0.0,1970.2,0.0,0.0,1970.2,1371.5,0.0,1,1.0000
7,Jul,1264.5,0.0,1431.5,0.0,0.0,1431.5,1538.5,0.0,1,1.0000
8,Agu,1264.5,0.0,1350.8,0.0,0.0,1350.8,1624.8,0.0,1,1.0000
9,Sep,1223.7,0.0,2068.9,0.0,0.0,2068.9,2470.1,0.0,1,1.0000
10,Okt,1264.4,0.0,1480.7,0.0,0.0,1480.7,2686.4,0.0,1,1.0000
11,Nov,1223.7,0.0,1353.0,0.0,0.0,1353.0,2815.7,0.0,1,1.0000
12,Des,1264.4,0.0,708.9,0.0,0.0,708.9,2260.2,0.0,1,1.0000
