periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,1264.4,0.0,1477.2,0.0,0.0,1477.2,212.8,0.0,0,1.0000
2,Feb,1178.6,0.0,1178.6,0.0,0.0,1178.6,212.8,0.0,0,1.0000
3,Mar,1264.5,0.0,1264.5,0.0,0.0,1264.5,212.8,0.0,0,1.0000
4,Apr,1223.7,0.0,1223.7,0.0,0.0,1223.7,212.8,0.0,0,1.0000
5,Mei,1264.5,0.0,1264.5,0.0,0.0,1264.5,212.8,0.0,0,1.0000
6,Jun,1223.8,0.0,1347.0,0.0,0.0,1347.0,336.0,0.0,0,1.0000
7,Jul,1264.5,0.0,1264.5,0.0,0.0,1264.5,336.0,0.0,0,1.0000
8,Agu,1264.5,0.0,1264.7,0.0,0.0,1264.7,336.1,0.0,0,1.0000
9,Sep,1223.7,0.0,1223.7,0.0,0.0,1223.7,336.1,0.0,0,1.0000
10,Okt,1264.4,0.0,1296.9,0.0,0.0,1296.9,368.6,0.0,0,1.0000
11,Nov,1223.7,0.0,1223.7,0.0,0.0,1223.7,368.6,0.0,0,1.0000
12,Des,1264.4,0.0,1430.5,0.0,0.0,1430.5,534.7,0.0,0,1.0000
