periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,3951.5,0.0,6549.4,0.0,0.0,6549.4,2597.8,0.0,0,1.0000
2,Feb,3696.6,0.0,3668.8,0.0,0.0,3668.8,2570.1,0.0,0,1.0000
3,Mar,3952.8,0.0,5134.1,0.0,0.0,5134.1,3751.4,0.0,0,1.0000
4,Apr,3830.8,0.0,3830.8,0.0,0.0,3830.8,3751.4,0.0,0,1.0000
5,Mei,3954.9,0.0,6011.5,0.0,0.0,6011.5,5807.9,0.0,1,1.0000
6,Jun,3826.7,0.0,5281.8,0.0,0.0,5281.8,7263.1,0.0,1,1.0000
7,Jul,3951.9,0.0,5541.2,0.0,0.0,5541.2,8852.4,0.0,1,1.0000
8,Agu,3951.5,0.0,4221.1,0.0,0.0,4221.1,9122.0,0.0,1,1.0000
9,Sep,3824.8,0.0,4498.3,0.0,0.0,4498.3,9795.5,0.0,1,1.0000
10,Okt,3951.5,0.0,4627.5,0.0,0.0,4627.5,10471.5,0.0,1,1.0000
11,Nov,3825.5,0.0,3393.8,0.0,0.0,3393.8,10039.8,0.0,1,1.0000
12,Des,3951.5,0.0,2215.4,0.0,0.0,2215.4,8303.7,0.0,1,1.0000
