periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,3951.5,0.0,10244.6,0.0,0.0,10244.6,6293.1,0.0,1,1.0000
2,Feb,3696.6,0.0,3696.6,0.0,0.0,3696.6,6293.1,0.0,1,1.0000
3,Mar,3952.8,0.0,3952.8,0.0,0.0,3952.8,6293.1,0.0,1,1.0000
4,Apr,3830.8,0.0,3830.8,0.0,0.0,3830.8,6293.1,0.0,1,1.0000
5,Mei,3954.9,0.0,3954.9,0.0,0.0,3954.9,6293.1,0.0,1,1.0000
6,Jun,3826.7,0.0,4211.9,0.0,0.0,4211.9,6678.3,0.0,1,1.0000
7,Jul,3951.9,0.0,3951.9,0.0,0.0,3951.9,6678.3,0.0,1,1.0000
8,Agu,3951.5,0.0,3951.9,0.0,0.0,3951.9,6678.7,0.0,1,1.0000
9,Sep,3824.8,0.0,3824.8,0.0,0.0,3824.8,6678.7,0.0,1,1.0000
10,Okt,3951.5,0.0,4053.1,0.0,0.0,4053.1,6780.3,0.0,1,1.0000
11,Nov,3825.5,0.0,3825.5,0.0,0.0,3825.5,6780.3,0.0,1,1.0000
12,Des,3951.5,0.0,4470.6,0.0,0.0,4470.6,7299.4,0.0,1,1.0000
