periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,253.2,0.0,419.7,0.0,0.0,419.7,166.5,0.0,0,1.0000
2,Feb,236.9,0.0,235.1,0.0,0.0,235.1,164.7,0.0,0,1.0000
3,Mar,253.2,0.0,328.9,0.0,0.0,328.9,240.4,0.0,0,1.0000
4,Apr,245.1,0.0,350.9,0.0,0.0,350.9,346.2,0.0,1,1.0000
5,Mei,253.2,0.0,384.9,0.0,0.0,384.9,477.9,0.0,1,1.0000
6,Jun,245.1,0.0,439.4,0.0,0.0,439.4,672.2,0.0,1,1.0000
7,Jul,253.2,0.0,355.1,0.0,0.0,355.1,774.0,0.0,1,1.0000
8,Agu,253.2,0.0,270.5,0.0,0.0,270.5,791.3,0.0,1,1.0000
9,Sep,245.1,0.0,617.6,0.0,0.0,617.6,1163.8,0.0,1,1.0000
10,Okt,253.2,0.0,89.4,0.0,0.0,89.4,1000.0,0.0,1,1.0000
11,Nov,245.1,0.0,217.4,0.0,0.0,217.4,972.4,0.0,1,1.0000
12,Des,253.2,0.0,142.0,0.0,0.0,142.0,861.1,0.0,1,1.0000
