periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,253.2,0.0,656.5,0.0,0.0,656.5,403.3,0.0,1,1.0000
2,Feb,236.9,0.0,236.9,0.0,0.0,236.9,403.3,0.0,1,1.0000
3,Mar,253.2,0.0,253.2,0.0,0.0,253.2,403.3,0.0,1,1.0000
4,Apr,245.1,0.0,245.1,0.0,0.0,245.1,403.3,0.0,1,1.0000
5,Mei,253.2,0.0,253.2,0.0,0.0,253.2,403.3,0.0,1,1.0000
6,Jun,245.1,0.0,295.9,0.0,0.0,295.9,454.2,0.0,1,1.0000
7,Jul,253.2,0.0,253.2,0.0,0.0,253.2,454.2,0.0,1,1.0000
8,Agu,253.2,0.0,253.2,0.0,0.0,253.2,454.2,0.0,1,1.0000
9,Sep,245.1,0.0,245.0,0.0,0.0,245.0,454.2,0.0,1,1.0000
10,Okt,253.2,0.0,795.6,0.0,0.0,795.6,996.5,0.0,1,1.0000
11,Nov,245.1,0.0,0.0,0.0,0.0,0.0,751.5,0.0,1,1.0000
12,Des,253.2,0.0,0.0,0.0,0.0,0.0,498.3,0.0,1,1.0000
