periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,570.2,0.0,789.6,0.0,0.0,789.6,219.3,0.0,0,1.0000
2,Feb,533.5,0.0,529.4,0.0,0.0,529.4,215.3,0.0,0,1.0000
3,Mar,570.2,0.0,1146.9,0.0,0.0,1146.9,791.9,0.0,1,1.0000
4,Apr,551.9,0.0,551.9,0.0,0.0,551.9,791.9,0.0,1,1.0000
5,Mei,570.2,0.0,1190.5,0.0,0.0,1190.5,1412.2,0.0,1,1.0000
6,Jun,551.9,0.0,551.9,0.0,0.0,551.9,1412.2,0.0,1,1.0000
7,Jul,570.2,0.0,1657.3,0.0,0.0,1657.3,2499.3,0.0,1,1.0000
8,Agu,570.2,0.0,322.9,0.0,0.0,322.9,2251.9,0.0,1,1.0000
9,Sep,551.9,0.0,1468.3,0.0,0.0,1468.3,3168.4,0.0,1,1.0000
10,Okt,570.2,0.0,0.0,0.0,0.0,0.0,2598.1,0.0,1,1.0000
11,Nov,551.9,0.0,255.1,0.0,0.0,255.1,2301.4,0.0,1,1.0000
12,Des,570.2,0.0,319.4,0.0,0.0,319.4,2050.6,0.0,1,1.0000
