periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_akhir_ton,shortage_ton,safe_flag,service_rate
1,Jan,570.2,0.0,896.2,0.0,0.0,896.2,326.0,0.0,0,1.0000
2,Feb,533.5,0.0,533.5,0.0,0.0,533.5,326.0,0.0,0,1.0000
3,Mar,570.2,0.0,570.2,0.0,0.0,570.2,326.0,0.0,0,1.0000
4,Apr,551.9,551.9,0.0,0.0,0.0,551.9,326.0,0.0,0,1.0000
5,Mei,570.2,570.2,0.0,0.0,0.0,570.2,326.0,0.0,0,1.0000
6,Jun,551.9,0.0,588.6,0.0,0.0,588.6,362.7,0.0,0,1.0000
7,Jul,570.2,0.0,570.2,0.0,0.0,570.2,362.7,0.0,0,1.0000
8,Agu,570.2,0.0,570.2,0.0,0.0,570.2,362.7,0.0,0,1.0000
9,Sep,551.9,551.9,0.0,0.0,0.0,551.9,362.7,0.0,0,1.0000
10,Okt,570.2,0.0,570.2,0.0,0.0,570.2,362.7,0.0,0,1.0000
11,Nov,551.9,0.0,551.9,0.0,0.0,551.9,362.7,0.0,0,1.0000
12,Des,570.2,0.0,631.9,0.0,0.0,631.9,424.4,0.0,0,1.0000
